word,PMI_Pos,PMI_Neg,PMI_Diff,freq_total,freq_pos,freq_neg
ukufunda,0.8063575524769974,-1.4757430397409426,2.28210059221794,12,9,1
bhala,0.8063575524769974,-1.4757430397409426,2.28210059221794,12,9,1
kulo,0.5209553336147488,-1.5912202571608787,2.112175590775627,13,8,1
lolu,1.0514700503135286,-1.0607055404620989,2.112175590775627,9,8,1
yakho,0.32831025567235306,-1.5912202571608787,1.9195305128332318,13,7,1
chaza,0.5433231466432037,-0.8907805390197862,1.4341036856629898,8,5,1
iyawaqeda,1.2213950517558412,0.0,1.2213950517558412,1,1,0
nenja,1.2213950517558412,0.0,1.2213950517558412,1,1,0
wokudabuka,1.2213950517558412,0.0,1.2213950517558412,1,1,0
ngomlando,1.2213950517558412,0.0,1.2213950517558412,2,2,0
bungafundisa,1.2213950517558412,0.0,1.2213950517558412,1,1,0
ubuciko,1.2213950517558412,0.0,1.2213950517558412,2,2,0
bayawujabulela,1.2213950517558412,0.0,1.2213950517558412,1,1,0
besebenza,1.2213950517558412,0.0,1.2213950517558412,1,1,0
izinyawo,1.2213950517558412,0.0,1.2213950517558412,1,1,0
amaqhawe,1.2213950517558412,0.0,1.2213950517558412,1,1,0
beziphatha,1.2213950517558412,0.0,1.2213950517558412,1,1,0
bangakuthokozela,1.2213950517558412,0.0,1.2213950517558412,1,1,0
ezithanda,1.2213950517558412,0.0,1.2213950517558412,1,1,0
sinengiso,1.2213950517558412,0.0,1.2213950517558412,1,1,0
izincwasimende,1.2213950517558412,0.0,1.2213950517558412,1,1,0
wosathane,1.2213950517558412,0.0,1.2213950517558412,1,1,0
kulabo,1.2213950517558412,0.0,1.2213950517558412,1,1,0
abafisa,1.2213950517558412,0.0,1.2213950517558412,1,1,0
sikhungo,1.2213950517558412,0.0,1.2213950517558412,1,1,0
unikezwe,1.2213950517558412,0.0,1.2213950517558412,1,1,0
wokukhetha,1.2213950517558412,0.0,1.2213950517558412,1,1,0
udlalwe,1.2213950517558412,0.0,1.2213950517558412,1,1,0
emoyeni,1.2213950517558412,0.0,1.2213950517558412,1,1,0
zabona,1.2213950517558412,0.0,1.2213950517558412,1,1,0
